FABRIC_NAME,PART_NUMBER
ALABASTER PERFORMANCE BOUCLE,26-0230508-0188
ALMOND PERFORMANCE VELVET,26-3380001-0006
BIRCH PERFORMANCE BRUSHED CANVAS,26-1620543-0806
BLACK SUNBRELLA(R) LINEN,26-1620522-0729
BONE PERFORMANCE CHENILLE,26-1620546-0809
CAMEL PERFORMANCE VELVET,26-3380001-0002
CHAMPAGNE PERFORMANCE LINEN,26-1620541-0973
CHALK PERFORMANCE VELVET,26-3380001-0008
CLAY PERFORMANCE LINEN,26-1620541-0988
COTTON PERFORMANCE BRUSHED CANVAS,26-1620543-0727
DARK TEAL PERFORMANCE VELVET,26-3380001-0004
DENIM PERFORMANCE BRUSHED CANVAS,26-1620543-0839
DUNE PERFORMANCE LINEN,26-1620541-0989
FAWN PERFORMANCE BOUCLE,26-0230508-0203
FOG PERFORMANCE BRUSHED CANVAS,26-1620543-0805
FROST PERFORMANCE LINEN,26-1620541-1005
HAZELNUT PERFORMANCE BOUCLE,26-0230508-0189
LICORICE PERFORMANCE CHENILLE,26-1620546-0772
MIDNIGHT NAVY PERFORMANCE CHENILLE,26-1620546-0702
MOCHA PERFORMANCE BOUCLE,26-0230508-0119
NAVY PERFORMANCE VELVET,26-3380001-0007
OATMEAL PERFORMANCE CHENILLE,26-1620546-0990
OLIVE PERFORMANCE VELVET,26-3380001-0003
ONYX PERFORMANCE VELVET,26-3380001-0005
OYSTER WHITE PERFORMANCE CHENILLE,26-1620546-0727
PEARL GRAY PERFORMANCE LINEN,26-1620541-0970
RUST PERFORMANCE VELVET,26-3380001-0001
SAND PERFORMANCE BASKETWEAVE,26-1620516-0809
SLATE PERFORMANCE LINEN,26-1620541-0969
SMOKE PERFORMANCE BOUCLE,26-0230508-0124
SNOW PERFORMANCE BOUCLE,26-0230508-0202
SPRUCE PERFORMANCE CHENILLE,26-1620546-0980
TAN VEGAN LEATHER,25-1620513-0936
WHITE SUNBRELLA(R) LINEN,26-1620522-0954
STORM GREY PERFORMANCE TWILL, 26-1620511-0942
